ID,Diet,Wing,lnWing,Pupa,lnPupa
CM02,Fed,1443087.5,14.18229547,2483837.366,14.72531525
CM03,Fed,1464618,14.19710502,2537853.515,14.74682921
CM04,Fed,1396791.5,14.14968838,2634740.812,14.78429537
CM05,Fed,1441664.625,14.18130899,2540869.542,14.74801692
CM06,Fed,1460331.125,14.19417377,2587798.369,14.76631802
CM07,Fed,1490648.625,14.2147219,2473437.862,14.72111959
CM08,Fed,1519650.75,14.2339911,2758203.864,14.83009025
CM09,Fed,1477911.875,14.20614075,2654229.245,14.79166487
CM10,Fed,1476923.625,14.20547185,2463426.424,14.71706379
CM11,Fed,1383266,14.13995793,2353511.662,14.67141909
CM12,Fed,1400821.75,14.15256959,2500667.202,14.73206814
CM13,Fed,1317100.5,14.09094329,2306422.843,14.65120833
CM14,Fed,1397798.125,14.15040879,2454017.511,14.71323704
CM15,Fed,1355525.625,14.11969985,2384642.094,14.68455961
CM17,Fed,1350528.875,14.11600683,2443767.786,14.70905158
CM18,Fed,1360003.875,14.12299811,2481665.555,14.72444049
CM19,Fed,1369257.5,14.12977918,2549754.224,14.75150753
CM20,Fed,1340617.75,14.10864107,2335966.967,14.66393648
CM21,Fed,1308269.875,14.08421612,2247195.027,14.62519334
CM22,Fed,1388182.25,14.14350572,2561576.64,14.7561335
CM23,Fed,1294251.125,14.0734428,2512482.809,14.73678199
CM24,Fed,1382054.625,14.13908181,2457843.711,14.71479498
CM25,Fed,1339423,14.10774948,2442705.709,14.70861688
CM26,Fed,1354604.5,14.11902009,2511471.794,14.73637951
CM27,Fed,1397263,14.15002588,2474380.795,14.72150074
CM28,Fed,1415951.125,14.16331204,2625631.459,14.78083198
CM29,Fed,1274051.125,14.05771224,2642335.344,14.78717368
CM30,Fed,1406353.625,14.15651083,2574890.048,14.76131739
CM31,Starved,699397.438,13.45797444,1180835.637,13.98173291
CM32,Starved,656732.25,13.39503168,1170688.035,13.9731022
CM33,Starved,792979.438,13.58355257,1383266.84,14.13995853
CM34,Starved,826698.188,13.62519496,1320148.146,14.09325452
CM35,Starved,752579.5,13.53126192,1272381.912,14.05640122
CM36,Starved,694179.188,13.4504854,1241571.466,14.03188845
CM37,Starved,779259.438,13.56609931,1295206.356,14.07418059
CM38,Starved,782673.938,13.57047146,1239232.854,14.03000308
CM39,Starved,739988.688,13.51439018,1288387.958,14.06890235
CM40,Starved,853010.688,13.65652736,1377578.601,14.13583788
HF31,Starved,935141.188,13.7484528,1351778.979,14.11693205
HF32,Starved,914189.563,13.72579323,1478074.236,14.20625061
HF33,Starved,1169059.5,13.97171014,1653524.598,14.31841969
HF34,Starved,1109269.875,13.91921259,1565852.181,14.26394076
HF35,Starved,1083507.75,13.89571425,1450150.461,14.18717788
HF36,Starved,877507.75,13.68484107,1406145.75,14.15636301
HF37,Starved,1221187.875,14.01533461,1851390.912,14.43144776
HF38,Starved,1043240.25,13.85784205,1345311.202,14.11213592
HF39,Starved,799639,13.59191565,1069913.264,13.88308814
HM03,Fed,1497779.625,14.21949432,2597513.65,14.77006526
HM04,Fed,1399098.5,14.15133866,2086436.732,14.55096826
HM05,Fed,1452554.125,14.18883403,2550132.079,14.75165571
HM06,Fed,1479685.5,14.20734012,2295383.369,14.64641043
HM07,Fed,1485282.75,14.21111572,2224373.987,14.61498608
HM08,Fed,1489605.125,14.21402163,2339132.773,14.66529081
HM09,Fed,1486833.125,14.212159,2444060.538,14.70917137
HM10,Fed,1379814.5,14.13745963,2398500.157,14.69035417
HM11,Fed,1440267,14.18033907,2438345.066,14.70683012
HM12,Fed,1447540.5,14.18537647,2395831.348,14.68924085
HM13,Fed,1433912.875,14.17591754,2501977.778,14.73259209
HM14,Fed,1512261.375,14.22911669,2401206.411,14.69148184
HM16,Fed,1516608.875,14.2319874,2628548.767,14.78194245
HM17,Fed,1509110.375,14.22703088,2555592.244,14.75379455
HM18,Fed,1443376.125,14.18249546,2417869.446,14.69839732
HM20,Fed,1479242.5,14.20704069,2383961.275,14.68427406
HM21,Fed,1418306.875,14.16497438,2508670.225,14.73526338
HM22,Fed,1478032.625,14.20622245,2465877.371,14.71805823
HM23,Fed,1474190.375,14.2036195,2515032.475,14.73779627
HM24,Fed,1467703.625,14.19920958,2483411.854,14.72514392
HM25,Fed,1495002.75,14.2176386,2633760.434,14.78392321
HM26,Fed,1450626.25,14.18750592,2564551.817,14.75729429
HM27,Fed,1554097.625,14.25640563,2478472.515,14.72315301
HM28,Fed,1382021,14.13905748,2468750.426,14.71922268
HM29,Fed,1419879.125,14.1660823,2341679.035,14.66637877
HM30,Starved,1450602.75,14.18748972,2232070.642,14.61844025
HM31,Starved,647050.938,13.3801803,1130264.43,13.93796217
HM32,Starved,719523.563,13.48634455,1101962.8,13.91260351
HM33,Starved,840012.125,13.64117161,1155812.149,13.96031381
HM34,Starved,733564.125,13.5056703,1030190.902,13.84525468
HM36,Starved,793185.875,13.58381287,1214090.222,14.00950557
